gene,residual_baseline_cindex,residual_perturbed_cindex_mean,residual_perturbed_cindex_std,residual_delta_cindex_mean,residual_delta_cindex_std,residual_method,residual_n_repeats,gated_baseline_cindex,gated_perturbed_cindex_mean,gated_perturbed_cindex_std,gated_delta_cindex_mean,gated_delta_cindex_std,gated_method,gated_n_repeats,max_delta_cindex,mean_delta_cindex
HAS3,0.6623070974683118,0.6612648354234609,0.0004911480639431412,0.0010422620448509168,0.0004911480639431412,shuffle,10,0.6660054466597183,0.6657163029956629,0.00032604049147430325,0.0002891436640554135,0.00032604049147430325,shuffle,10,0.0010422620448509168,0.0006657028544531651
DBH,0.6623070974683118,0.6612749218303466,0.000412338213081181,0.0010321756379652047,0.000412338213081181,shuffle,10,0.6660054466597183,0.66595501462529,7.991705156847203e-05,5.043203442822719e-05,7.991705156847203e-05,shuffle,10,0.0010321756379652047,0.000541303836196716
ZNF354C,0.6623070974683118,0.6612883703728608,0.0006375747494752737,0.001018727095451033,0.0006375747494752737,shuffle,10,0.6660054466597183,0.6657364758094342,0.00047666499272965755,0.0002689708502841004,0.00047666499272965755,shuffle,10,0.001018727095451033,0.0006438489728675667
TMEM236,0.6623070974683118,0.6613152674578893,0.0003063973799717469,0.0009918300104225786,0.0003063973799717469,shuffle,10,0.6660054466597183,0.6655750932992637,0.0001771433933674405,0.00043035336045460504,0.0001771433933674405,shuffle,10,0.0009918300104225786,0.0007110916854385918
SPATA4,0.6623070974683118,0.6613421645429176,0.0006352657181152083,0.0009649329253942351,0.0006352657181152083,shuffle,10,0.6660054466597183,0.6660357058803752,0.0002242572187829388,-3.025922065691411e-05,0.0002242572187829388,shuffle,10,0.0009649329253942351,0.0004673368523686605
C20orf181,0.6623070974683118,0.6613791480348317,0.0007146733150300299,0.0009279494334801797,0.0007146733150300299,shuffle,10,0.6660054466597183,0.6662576068318595,0.00032397103469080393,-0.000252160172141247,0.00032397103469080393,shuffle,10,0.0009279494334801797,0.00033789463066946634
CLIC6,0.6623070974683118,0.6613825101704602,0.0005628439983452624,0.000924587297851609,0.0005628439983452624,shuffle,10,0.6660054466597183,0.6659281175402616,0.00034420453610668696,7.732911945668164e-05,0.00034420453610668696,shuffle,10,0.000924587297851609,0.0005009582086541453
CROCC,0.6623070974683118,0.6613925965773457,0.000614599864291545,0.000914500890966119,0.000614599864291545,shuffle,10,0.6660054466597183,0.6656557845543489,0.00040435185094638834,0.0003496621053693527,0.00040435185094638834,shuffle,10,0.000914500890966119,0.0006320814981677358
RNF135,0.6623070974683118,0.6613959587129744,0.0007945531057101503,0.0009111387553374373,0.0007945531057101503,shuffle,10,0.6660054466597183,0.6660020845240897,0.0006288991301880119,3.362135628570684e-06,0.0006288991301880119,shuffle,10,0.0009111387553374373,0.000457250445483004
SPINLW1,0.6623070974683118,0.6614161315267457,0.0002499086969592629,0.0008909659415661242,0.0002499086969592629,shuffle,10,0.6660054466597183,0.6659382039471471,0.00016675650428855406,6.724271257119163e-05,0.00016675650428855406,shuffle,10,0.0008909659415661242,0.0004791043270686579
