layer,head,gene,mean_attention_score
0,0,BRICD5,0.001976407365873456
0,0,TTTY23B,0.0020428106654435396
0,0,TSSC4,0.001994956750422716
0,0,PLA2G2D,0.0019893667194992304
0,0,MARCHF11,0.0019891965202987194
0,0,PDCD1,0.0019852030090987682
0,0,PDC,0.0020376662723720074
0,0,ZNF74,0.001969630364328623
0,0,GOLGA6L2,0.0019960671197623014
0,0,SFRP5,0.0020083130802959204
0,0,PPM1B,0.0019862938206642866
0,0,PPM1F,0.002106358762830496
0,0,CLDN1,0.001984757836908102
0,0,HAPLN2,0.002033757045865059
0,0,DTL,0.002004570560529828
0,0,SCG3,0.002005931455641985
0,0,SCGN,0.0020092304330319166
0,0,AZU1,0.001968071097508073
0,0,SULT1E1,0.001964081544429064
0,0,BRPF1,0.0019859124440699816
0,0,BRMS1,0.0019616822246462107
0,0,BRINP2,0.0020017025526612997
0,0,NOTCH4,0.0019700322300195694
0,0,CLEC7A,0.001993094803765416
0,0,TMEM35B,0.001996095757931471
0,0,CLNS1A,0.0019799787551164627
0,0,CLK3,0.0019667993765324354
0,0,LINC00115,0.0020238689612597227
0,0,STX1B,0.001996021019294858
0,0,DPYD,0.00196760892868042
0,0,PIP4P2,0.00207790220156312
0,0,UBB,0.0019721640273928642
0,0,URB1-AS1,0.0019888493698090315
0,0,MED13L,0.0019537475891411304
0,0,HSPD1,0.0020225723274052143
0,0,CCDC78,0.001975561026483774
0,0,SLC15A3,0.0019815738778561354
0,0,SHOC1,0.0019678454846143723
0,0,C11orf54,0.0019977781921625137
0,0,TPPP,0.0020247746724635363
0,0,LOC256483,0.002001900691539049
0,0,GNGT1,0.0020036513451486826
0,0,SH3TC2-DT,0.0020117671228945255
0,0,BPY2,0.001974204322323203
0,0,L1TD1,0.001984406029805541
0,0,GJD2,0.001962972106412053
0,0,CDC20,0.001993401674553752
0,0,AKAP1,0.0019764716271311045
0,0,CORO2B,0.0020461357198655605
0,0,DNAJB5,0.00199683359824121
