epoch,train_loss,train_cindex,lr,val_loss,val_cindex,epoch_time_sec,elapsed_time_min
1,6.5367021560668945,0.4914486344962386,0.0005,4.958786487579346,0.4652304246137629,0.3349182605743408,0.005582014719645183
2,6.533057689666748,0.5008038585209004,0.0005,4.958540916442871,0.4796257864742893,0.28838682174682617,0.010389920075734456
3,6.533803939819336,0.5007292037426929,0.0005,4.958418846130371,0.48619758210626873,0.27832651138305664,0.015028758843739828
4,6.5302886962890625,0.4955727454256981,0.0005,4.958348274230957,0.48868465263365946,0.2836465835571289,0.019756261507670084
5,6.530789375305176,0.49397256927058514,0.0005,4.958324432373047,0.4886187699706822,0.2837214469909668,0.024485007921854655
6,6.535382270812988,0.4988794242382196,0.0005,4.958289623260498,0.4943835029811905,0.2804279327392578,0.02915885845820109
7,6.5322980880737305,0.5117841436267442,0.0005,4.958242416381836,0.5116118193497381,0.2910184860229492,0.0340092142422994
8,6.531549453735352,0.5278115441926123,0.0005,4.958203315734863,0.5206706855091083,0.2841465473175049,0.03874504566192627
9,6.533397674560547,0.5413798616096475,0.0005,4.958184719085693,0.5159930164377244,0.2846696376800537,0.04348959128061931
10,6.531173229217529,0.5534000349897142,0.0005,4.95818567276001,0.512830648614817,0.28182148933410645,0.04818667570749919
11,6.527153491973877,0.5587736708433124,0.0005,4.95817756652832,0.5122377046480219,0.2944915294647217,0.05309628248214722
12,6.5316009521484375,0.5665332432448738,0.0005,4.958146095275879,0.5150706591560431,0.2961885929107666,0.05803282260894775
13,6.5307841300964355,0.5736299717065931,0.0005,4.958102703094482,0.519221266923609,0.28269314765930176,0.06274442672729492
14,6.53073787689209,0.5818910130728812,0.0005,4.9580535888671875,0.5228777547188458,0.28508877754211426,0.06749595801035563
15,6.532192230224609,0.5876582832115731,0.0005,4.958007335662842,0.5255789439009124,0.28525209426879883,0.07225021123886108
16,6.532071113586426,0.589062396312808,0.0005,4.957890510559082,0.5292024903646605,0.2856936454772949,0.07701182762781779
17,6.530960559844971,0.5908420455710864,0.0005,4.957763195037842,0.5335507461211583,0.2864491939544678,0.08178602457046509
18,6.537389278411865,0.5938448266500969,0.0005,4.957683086395264,0.5358236979938729,0.29681849479675293,0.08673307100931803
19,6.529800891876221,0.5963755482224622,0.0005,4.957601070404053,0.5372072339163949,0.28601503372192383,0.09150004784266154
20,6.529318809509277,0.5997056037837153,0.0005,4.95750617980957,0.5386237111704055,0.2880246639251709,0.09630051453908285
21,6.528094291687012,0.6030929700837944,0.0005,4.957388401031494,0.5407978390486543,0.297748327255249,0.10126475890477499
22,6.526129245758057,0.6076702883031798,0.0005,4.957246780395508,0.543334321573278,0.28911662101745605,0.10608342488606771
23,6.52979850769043,0.6127030760784976,0.0005,4.957062244415283,0.5452778601311065,0.2981069087982178,0.11105193297068278
24,6.526735305786133,0.6166296157767415,0.0005,4.956823348999023,0.5496261158876041,0.2880573272705078,0.11585294802983602
25,6.524321556091309,0.6216224368526149,0.0005,4.9565629959106445,0.5516025957769213,0.2949800491333008,0.12076934178670247
26,6.526196002960205,0.6270518752677015,0.0005,4.9562811851501465,0.5564449715057482,0.29305148124694824,0.12565358877182006
27,6.5294270515441895,0.6307054348678535,0.0005,4.956003665924072,0.5591132193563264,0.2919156551361084,0.13051889737447103
28,6.525750637054443,0.6335204478683422,0.0005,4.955706596374512,0.5604638139473598,0.30021214485168457,0.13552249272664388
29,6.5252604484558105,0.6352910480625954,0.0005,4.955400466918945,0.5606614619362915,0.3086726665496826,0.14066710074742636
30,6.526037216186523,0.637238105005339,0.0005,4.95510721206665,0.5611226405771321,0.30010461807250977,0.14566891193389891
31,6.523130893707275,0.6387809704216261,0.0005,4.95490026473999,0.562341469842211,0.3021106719970703,0.15070593754450481
