Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,source
KEGG_2021_Human,Ascorbate and aldarate metabolism,1/30,0.0281308104264749,0.1457954536284484,0,0,38.22222222222222,136.48734525751556,UGT2B17,model_specific_perturb
KEGG_2021_Human,Pentose and glucuronate interconversions,1/34,0.0318244510525941,0.1457954536284484,0,0,33.582491582491585,115.77632426352072,UGT2B17,model_specific_perturb
KEGG_2021_Human,Tyrosine metabolism,1/36,0.0336662807139245,0.1457954536284484,0,0,31.66031746031746,107.36832116912788,DBH,model_specific_perturb
KEGG_2021_Human,African trypanosomiasis,1/37,0.0345859503542857,0.1457954536284484,0,0,30.77932098765432,103.55110778477112,IL12A,model_specific_perturb
KEGG_2021_Human,Allograft rejection,1/38,0.035504790801106,0.1457954536284484,0,0,29.945945945945947,99.96219201416405,IL12A,model_specific_perturb
KEGG_2021_Human,Porphyrin and chlorophyll metabolism,1/43,0.0400865798370342,0.1457954536284484,0,0,26.374338624338623,84.83869553971446,UGT2B17,model_specific_perturb
KEGG_2021_Human,Type I diabetes mellitus,1/43,0.0400865798370342,0.1457954536284484,0,0,26.374338624338623,84.83869553971446,IL12A,model_specific_perturb
KEGG_2021_Human,Malaria,1/50,0.0464664552952436,0.1457954536284484,0,0,22.598639455782312,69.35578082800635,IL12A,model_specific_perturb
KEGG_2021_Human,Legionellosis,1/57,0.0528061471485762,0.1457954536284484,0,0,19.76686507936508,58.13687386922473,IL12A,model_specific_perturb
KEGG_2021_Human,Steroid hormone biosynthesis,1/61,0.0564108785625051,0.1457954536284484,0,0,18.44537037037037,53.032159970359054,UGT2B17,model_specific_perturb
KEGG_2021_Human,Inflammatory bowel disease,1/65,0.0600026111891116,0.1457954536284484,0,0,17.2890625,48.64048131974362,IL12A,model_specific_perturb
KEGG_2021_Human,Retinol metabolism,1/68,0.0626879068283445,0.1457954536284484,0,0,16.512437810945272,45.73262853376193,UGT2B17,model_specific_perturb
KEGG_2021_Human,RIG-I-like receptor signaling pathway,1/70,0.0644740648279743,0.1457954536284484,0,0,16.03220611916264,43.95216853322471,IL12A,model_specific_perturb
KEGG_2021_Human,PPAR signaling pathway,1/74,0.068036711755515,0.1457954536284484,0,0,15.150684931506849,40.72061468284932,FABP6,model_specific_perturb
KEGG_2021_Human,Pertussis,1/76,0.0698132116714254,0.1457954536284484,0,0,14.745185185185186,39.25068041075836,IL12A,model_specific_perturb
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,1/76,0.0698132116714254,0.1457954536284484,0,0,14.745185185185186,39.25068041075836,UGT2B17,model_specific_perturb
KEGG_2021_Human,Leishmaniasis,1/77,0.0707002581349002,0.1457954536284484,0,0,14.550438596491228,38.54856507595181,IL12A,model_specific_perturb
KEGG_2021_Human,Bile secretion,1/90,0.0821591818596334,0.1457954536284484,0,0,12.41697877652934,31.031230328063536,UGT2B17,model_specific_perturb
KEGG_2021_Human,Th1 and Th2 cell differentiation,1/92,0.0839101673425248,0.1457954536284484,0,0,12.142857142857142,30.0901030781943,IL12A,model_specific_perturb
KEGG_2021_Human,Amoebiasis,1/102,0.0926177296022899,0.1457954536284484,0,0,10.935093509350937,26.017591233462856,IL12A,model_specific_perturb
KEGG_2021_Human,Chagas disease,1/102,0.0926177296022899,0.1457954536284484,0,0,10.935093509350937,26.017591233462856,IL12A,model_specific_perturb
KEGG_2021_Human,Toll-like receptor signaling pathway,1/104,0.0943498067238511,0.1457954536284484,0,0,10.72168284789644,25.311170493332494,IL12A,model_specific_perturb
KEGG_2021_Human,C-type lectin receptor signaling pathway,1/104,0.0943498067238511,0.1457954536284484,0,0,10.72168284789644,25.311170493332494,IL12A,model_specific_perturb
KEGG_2021_Human,Drug metabolism,1/108,0.0978045685552119,0.1457954536284484,0,0,10.318795430944965,23.9889704117679,UGT2B17,model_specific_perturb
KEGG_2021_Human,Toxoplasmosis,1/112,0.1012468427975336,0.1457954536284484,0,0,9.944944944944943,22.7758508139741,IL12A,model_specific_perturb
KEGG_2021_Human,Measles,1/139,0.1241588027455548,0.171912188416922,0,0,7.988325281803543,16.66519519795103,IL12A,model_specific_perturb
KEGG_2021_Human,JAK-STAT signaling pathway,1/162,0.1432388567917393,0.1904435422840032,0,0,6.8391994478951,13.2902176640286,IL12A,model_specific_perturb
KEGG_2021_Human,Influenza A,1/172,0.151411112275191,0.1904435422840032,0,0,6.435997400909682,12.149596209925718,IL12A,model_specific_perturb
KEGG_2021_Human,Tuberculosis,1/180,0.1578956885859118,0.1904435422840032,0,0,6.145872129112353,11.34417776687738,IL12A,model_specific_perturb
KEGG_2021_Human,NOD-like receptor signaling pathway,1/181,0.158702951903336,0.1904435422840032,0,0,6.11141975308642,11.249418991600145,CARD18,model_specific_perturb
KEGG_2021_Human,Lipid and atherosclerosis,1/215,0.1857177582214242,0.215672235353912,0,0,5.131619937694704,8.639221676650196,IL12A,model_specific_perturb
KEGG_2021_Human,Coronavirus disease,1/232,0.198914959780745,0.2228618029039183,0,0,4.74987974987975,7.670475756784212,IL12A,model_specific_perturb
KEGG_2021_Human,Chemical carcinogenesis,1/239,0.2042899859952584,0.2228618029039183,0,0,4.608543417366946,7.319356836722841,UGT2B17,model_specific_perturb
KEGG_2021_Human,Cytokine-cytokine receptor interaction,1/295,0.2460768664000815,0.2605519761883216,0,0,3.720143613000756,5.216055497169912,IL12A,model_specific_perturb
KEGG_2021_Human,Herpes simplex virus 1 infection,1/498,0.3807878169466155,0.3916674688593759,0,0,2.177956628660854,2.102845372828173,IL12A,model_specific_perturb
KEGG_2021_Human,Pathways in cancer,1/531,0.400404416080283,0.400404416080283,0,0,2.0388888888888888,1.8661546349552265,IL12A,model_specific_perturb
GO_Biological_Process_2023,Zymogen Inhibition (GO:0097341),1/5,0.0047413916093995,0.0554825974335436,0,0,277.4583333333333,1484.7973498875915,CARD18,model_specific_perturb
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Cilium (GO:1903566),1/5,0.0047413916093995,0.0554825974335436,0,0,277.4583333333333,1484.7973498875915,CROCC,model_specific_perturb
GO_Biological_Process_2023,Regulation Of NK T Cell Activation (GO:0051133),1/5,0.0047413916093995,0.0554825974335436,0,0,277.4583333333333,1484.7973498875915,IL12A,model_specific_perturb
GO_Biological_Process_2023,Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002860),1/5,0.0047413916093995,0.0554825974335436,0,0,277.4583333333333,1484.7973498875915,IL12A,model_specific_perturb
GO_Biological_Process_2023,Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell (GO:0002857),1/5,0.0047413916093995,0.0554825974335436,0,0,277.4583333333333,1484.7973498875915,IL12A,model_specific_perturb
GO_Biological_Process_2023,Free Ubiquitin Chain Polymerization (GO:0010994),1/6,0.0056871157389833,0.0554825974335436,0,0,221.95555555555555,1147.4107993095174,RNF135,model_specific_perturb
GO_Biological_Process_2023,Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903588),1/6,0.0056871157389833,0.0554825974335436,0,0,221.95555555555555,1147.4107993095174,IL12A,model_specific_perturb
GO_Biological_Process_2023,RIG-I Signaling Pathway (GO:0039529),1/6,0.0056871157389833,0.0554825974335436,0,0,221.95555555555555,1147.4107993095174,RNF135,model_specific_perturb
