Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,source
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Cilium (GO:1903566),1/5,0.0064836893697988,0.0803646127938043,0,0,199.7,1006.1815770136444,CROCC,all_perturbation
GO_Biological_Process_2023,Regulation Of NK T Cell Activation (GO:0051133),1/5,0.0064836893697988,0.0803646127938043,0,0,199.7,1006.1815770136444,IL12A,all_perturbation
GO_Biological_Process_2023,Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002860),1/5,0.0064836893697988,0.0803646127938043,0,0,199.7,1006.1815770136444,IL12A,all_perturbation
GO_Biological_Process_2023,Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell (GO:0002857),1/5,0.0064836893697988,0.0803646127938043,0,0,199.7,1006.1815770136444,IL12A,all_perturbation
GO_Biological_Process_2023,Hyaluronan Biosynthetic Process (GO:0030213),1/6,0.007775574144635,0.0803646127938043,0,0,159.752,775.8783981291459,HAS3,all_perturbation
GO_Biological_Process_2023,Free Ubiquitin Chain Polymerization (GO:0010994),1/6,0.007775574144635,0.0803646127938043,0,0,159.752,775.8783981291459,RNF135,all_perturbation
GO_Biological_Process_2023,Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903588),1/6,0.007775574144635,0.0803646127938043,0,0,159.752,775.8783981291459,IL12A,all_perturbation
GO_Biological_Process_2023,RIG-I Signaling Pathway (GO:0039529),1/6,0.007775574144635,0.0803646127938043,0,0,159.752,775.8783981291459,RNF135,all_perturbation
GO_Biological_Process_2023,Regulation Of Protein Localization To Cilium (GO:1903564),1/7,0.0090658443341152,0.0803646127938043,0,0,133.12,626.0954814439701,CROCC,all_perturbation
GO_Biological_Process_2023,Catecholamine Catabolic Process (GO:0042424),1/7,0.0090658443341152,0.0803646127938043,0,0,133.12,626.0954814439701,DBH,all_perturbation
GO_Biological_Process_2023,Regulation Of Dendritic Cell Chemotaxis (GO:2000508),1/7,0.0090658443341152,0.0803646127938043,0,0,133.12,626.0954814439701,IL12A,all_perturbation
GO_Biological_Process_2023,Inhibition Of Cysteine-Type Endopeptidase Activity (GO:0097340),1/7,0.0090658443341152,0.0803646127938043,0,0,133.12,626.0954814439701,CARD18,all_perturbation
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002858),1/7,0.0090658443341152,0.0803646127938043,0,0,133.12,626.0954814439701,IL12A,all_perturbation
GO_Biological_Process_2023,Dopamine Catabolic Process (GO:0042420),1/7,0.0090658443341152,0.0803646127938043,0,0,133.12,626.0954814439701,DBH,all_perturbation
GO_Biological_Process_2023,Positive Regulation Of Dendritic Cell Chemotaxis (GO:2000510),1/7,0.0090658443341152,0.0803646127938043,0,0,133.12,626.0954814439701,IL12A,all_perturbation
GO_Biological_Process_2023,Norepinephrine Metabolic Process (GO:0042415),1/7,0.0090658443341152,0.0803646127938043,0,0,133.12,626.0954814439701,DBH,all_perturbation
GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034393),1/8,0.0103545017362565,0.0803646127938043,0,0,114.09714285714286,521.4620402892078,IL12A,all_perturbation
GO_Biological_Process_2023,Positive Regulation Of NK T Cell Activation (GO:0051135),1/8,0.0103545017362565,0.0803646127938043,0,0,114.09714285714286,521.4620402892078,IL12A,all_perturbation
GO_Biological_Process_2023,Negative Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900747),1/9,0.0116415481869311,0.0803646127938043,0,0,99.83,444.5604442545611,IL12A,all_perturbation
GO_Biological_Process_2023,Negative Regulation Of Interleukin-17 Production (GO:0032700),1/10,0.0129269855424658,0.0803646127938043,0,0,88.73333333333333,385.85142072369416,IL12A,all_perturbation
GO_Biological_Process_2023,Phenol-Containing Compound Biosynthetic Process (GO:0046189),1/10,0.0129269855424658,0.0803646127938043,0,0,88.73333333333333,385.85142072369416,DBH,all_perturbation
GO_Biological_Process_2023,Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034391),1/10,0.0129269855424658,0.0803646127938043,0,0,88.73333333333333,385.85142072369416,IL12A,all_perturbation
GO_Biological_Process_2023,Cellular Response To Interleukin-12 (GO:0071349),1/10,0.0129269855424658,0.0803646127938043,0,0,88.73333333333333,385.85142072369416,IL12A,all_perturbation
GO_Biological_Process_2023,Catecholamine Biosynthetic Process (GO:0042423),1/11,0.0142108156769532,0.0803646127938043,0,0,79.856,339.6876146735057,DBH,all_perturbation
GO_Biological_Process_2023,Neurotransmitter Biosynthetic Process (GO:0042136),1/11,0.0142108156769532,0.0803646127938043,0,0,79.856,339.6876146735057,DBH,all_perturbation
GO_Biological_Process_2023,Biogenic Amine Biosynthetic Process (GO:0042401),1/11,0.0142108156769532,0.0803646127938043,0,0,79.856,339.6876146735057,DBH,all_perturbation
GO_Biological_Process_2023,Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:1902548),1/11,0.0142108156769532,0.0803646127938043,0,0,79.856,339.6876146735057,IL12A,all_perturbation
GO_Biological_Process_2023,Polysaccharide Biosynthetic Process (GO:0000271),1/12,0.0154930404733183,0.084695287920807,0,0,72.59272727272727,302.5203442580517,HAS3,all_perturbation
GO_Biological_Process_2023,Hyaluronan Metabolic Process (GO:0030212),1/14,0.0180526816175866,0.0931513276481127,0,0,61.418461538461536,246.562020931719,HAS3,all_perturbation
GO_Biological_Process_2023,Cellular Glucuronidation (GO:0052695),1/15,0.0193301017548387,0.0931513276481127,0,0,57.02857142857143,225.0399736139121,UGT2B17,all_perturbation
GO_Biological_Process_2023,Glucuronate Metabolic Process (GO:0019585),1/15,0.0193301017548387,0.0931513276481127,0,0,57.02857142857143,225.0399736139121,UGT2B17,all_perturbation
GO_Biological_Process_2023,Response To UV-B (GO:0010224),1/16,0.0206059241328129,0.0931513276481127,0,0,53.224,206.6249708321616,IL12A,all_perturbation
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Activation (GO:0032814),1/16,0.0206059241328129,0.0931513276481127,0,0,53.224,206.6249708321616,IL12A,all_perturbation
GO_Biological_Process_2023,Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903587),1/16,0.0206059241328129,0.0931513276481127,0,0,53.224,206.6249708321616,IL12A,all_perturbation
GO_Biological_Process_2023,Extracellular Matrix Assembly (GO:0085029),1/17,0.0218801506534414,0.0931513276481127,0,0,49.895,190.70744238188936,HAS3,all_perturbation
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Proliferation (GO:0070665),1/17,0.0218801506534414,0.0931513276481127,0,0,49.895,190.70744238188936,IL12A,all_perturbation
GO_Biological_Process_2023,Regulation Of Lymphocyte Proliferation (GO:0050670),1/18,0.0231527832149216,0.0931513276481127,0,0,46.95764705882353,176.82560723797164,IL12A,all_perturbation
GO_Biological_Process_2023,Positive Regulation Of Natural Killer Cell Activation (GO:0032816),1/18,0.0231527832149216,0.0931513276481127,0,0,46.95764705882353,176.82560723797164,IL12A,all_perturbation
GO_Biological_Process_2023,Positive Regulation Of Alpha-Beta T Cell Activation (GO:0046635),1/19,0.0244238237126149,0.0931513276481127,0,0,44.34666666666666,164.6235293172426,IL12A,all_perturbation
