epoch,train_loss,total_loss,gate_penalty,train_cindex,lr,val_loss,val_cindex,epoch_time_sec,elapsed_time_min
1,6.538875102996826,6.538875102996826,0.0,0.5632755801958217,0.0003,4.958445072174072,0.5170471390453603,0.029220104217529297,0.0004870295524597168
2,6.5268120765686035,6.5268120765686035,0.0,0.5965474804389399,0.0003,4.957086563110352,0.5393154791316666,0.02924489974975586,0.0009751478830973307
3,6.52229118347168,6.52229118347168,0.0,0.6105433661311631,0.0003,4.955727577209473,0.549033171920809,0.029246091842651367,0.0014626145362854003
4,6.521191120147705,6.521191120147705,0.0,0.6183858882862883,0.0003,4.9542036056518555,0.5572355634614751,0.028886795043945312,0.0019440968831380208
5,6.522450923919678,6.522450923919678,0.0,0.6229888455204117,0.0003,4.952686309814453,0.5617814672069045,0.02882218360900879,0.0024245023727416993
6,6.518210411071777,6.518210411071777,0.0,0.6267291253174714,0.0003,4.951025009155273,0.5644826563889712,0.029482364654541016,0.0029159148534139
7,6.507111072540283,6.507111072540283,0.0,0.6301195079722254,0.0003,4.94932746887207,0.5666897255987087,0.028631210327148438,0.0033931374549865724
8,6.507475852966309,6.507475852966309,0.0,0.6331328462925985,0.0003,4.947567462921143,0.5695556214382186,0.028409719467163086,0.0038666725158691406
9,6.507863998413086,6.507863998413086,0.0,0.6364055911150257,0.0003,4.945715427398682,0.5716309253220015,0.02835249900817871,0.004339245955149332
10,6.506009578704834,6.506009578704834,0.0,0.6400252167250834,0.0003,4.943824768066406,0.5746615278189544,0.029057741165161133,0.0048235853513081866
11,6.49641752243042,6.49641752243042,0.0,0.6435256963254767,0.0003,4.941891193389893,0.5771321276806008,0.028560638427734375,0.00530087947845459
12,6.495287895202637,6.495287895202637,0.0,0.6468693254827675,0.0003,4.939965724945068,0.5792733142273611,0.028752565383911133,0.005780120690663655
13,6.486119270324707,6.486119270324707,0.0,0.6503547233097856,0.0003,4.937930107116699,0.5817109727575188,0.028333187103271484,0.006252380212148031
14,6.485063076019287,6.485063076019287,0.0,0.6540195942399691,0.0003,4.935789108276367,0.5832921566689726,0.02917194366455078,0.006738619009653727
15,6.479115009307861,6.479115009307861,0.0,0.6576543016234021,0.0003,4.933669090270996,0.5854992258787101,0.029371023178100586,0.007228175799051921
16,6.470248222351074,6.470248222351074,0.0,0.6613402870363109,0.0003,4.93153715133667,0.5874427644365385,0.02832484245300293,0.007700292269388834
17,6.459903717041016,6.459903717041016,0.0,0.6648317175726791,0.0003,4.929359436035156,0.5882333563922654,0.027996540069580078,0.008166933059692382
18,6.464648246765137,6.464648246765137,0.0,0.6687409132315414,0.0003,4.927065849304199,0.5906380735909346,0.029235363006591797,0.008654228846232096
19,6.46473503112793,6.46473503112793,0.0,0.6730120714514095,0.0003,4.9248127937316895,0.5938992654083078,0.029561281204223633,0.009146956602732341
20,6.450169086456299,6.450169086456299,0.0,0.677367687602179,0.0003,4.922489166259766,0.5964028066014428,0.029710769653320312,0.009642175833384196
21,6.438081741333008,6.438081741333008,0.0,0.681914842274814,0.0003,4.919986724853516,0.5993345851039299,0.03036332130432129,0.01014959414800008
22,6.436339378356934,6.436339378356934,0.0,0.6866791744840526,0.0003,4.917470455169678,0.6023981289323714,0.03258800506591797,0.010692767302195231
23,6.44709587097168,6.44709587097168,0.0,0.691725535855408,0.0003,4.914881706237793,0.6046051981421089,0.03025984764099121,0.011197141806284587
24,6.422916412353516,6.422916412353516,0.0,0.6966512430397616,0.0003,4.912076950073242,0.6078663899594822,0.029275178909301758,0.01168511708577474
25,6.416990756988525,6.416990756988525,0.0,0.7015663929827525,0.0003,4.909204006195068,0.6108640511249465,0.02931070327758789,0.012173660596211751
26,6.413708209991455,6.413708209991455,0.0,0.7067183267677346,0.0003,4.906130313873291,0.6141581842738083,0.02875065803527832,0.012652881940205892
27,6.397246360778809,6.397246360778809,0.0,0.712639430994854,0.0003,4.902765274047852,0.6173534934282043,0.03001546859741211,0.013153171539306641
28,6.391777515411377,6.391777515411377,0.0,0.7183448658627076,0.0003,4.899485111236572,0.620153506604737,0.02984929084777832,0.013650699456532796
29,6.38385009765625,6.38385009765625,0.0,0.7243730506807913,0.0003,4.896291255950928,0.6227558717923378,0.029345035552978516,0.014139823118845622
30,6.369500160217285,6.369500160217285,0.0,0.7302760567798604,0.0003,4.893241882324219,0.6262476529301314,0.02847003936767578,0.014614359537760416
