gene,residual_score,residual_std,gated_score,gated_std,residual_rank,gated_rank,rank_diff,abs_rank_diff
VWC2L,0.67402744,0.11686506,0.60457426,0.08890426,65.0,326.0,-261.0,261.0
JAG2,0.67285705,0.103650734,0.47124633,0.08261544,66.0,2274.0,-2208.0,2208.0
LPAL2,0.6727995,0.10744141,0.517879,0.096133016,67.0,1477.0,-1410.0,1410.0
CD200R1L,0.6718164,0.107440256,0.57300174,0.09602764,68.0,661.0,-593.0,593.0
FLJ40292,0.6697802,0.1286806,0.52825814,0.11664482,69.0,1304.0,-1235.0,1235.0
ZNF563,0.6695587,0.117086306,0.5706794,0.08145582,70.0,694.0,-624.0,624.0
RBP1,0.6691834,0.11668377,0.5720931,0.09457776,71.0,677.0,-606.0,606.0
OPHN1,0.6684289,0.09623375,0.52586716,0.10746164,72.0,1339.0,-1267.0,1267.0
DBH,0.66808504,0.10898314,0.5118757,0.11527574,73.0,1590.0,-1517.0,1517.0
GRIP2,0.6677896,0.11782691,0.5212357,0.094915606,74.0,1423.0,-1349.0,1349.0
AGTR1,0.66763973,0.13320465,0.52083987,0.09926257,75.0,1427.0,-1352.0,1352.0
REEP5,0.66730976,0.10393808,0.50224423,0.06961484,76.0,1741.0,-1665.0,1665.0
CCNC,0.6672661,0.1304199,0.5537849,0.08765769,77.0,920.0,-843.0,843.0
NANOS3,0.6672128,0.103809014,0.6048915,0.11108756,78.0,320.0,-242.0,242.0
STK33,0.6671614,0.12889972,0.45247546,0.08165,79.0,2502.0,-2423.0,2423.0
WDCP,0.66635966,0.10435061,0.4279611,0.07734227,80.0,2700.0,-2620.0,2620.0
DCAF4L1,0.6663475,0.12665728,0.516241,0.07510342,81.0,1505.0,-1424.0,1424.0
TCEAL1,0.6663271,0.13010348,0.42962146,0.11278548,82.0,2686.0,-2604.0,2604.0
GNRHR,0.6662319,0.11300883,0.5855884,0.10154618,83.0,506.0,-423.0,423.0
TEKT3,0.6660941,0.14154056,0.4061043,0.10462797,84.0,2833.0,-2749.0,2749.0
PARN,0.6660102,0.12990703,0.54910755,0.08135336,85.0,986.0,-901.0,901.0
GSG1,0.66487324,0.11604757,0.58050156,0.07474888,86.0,574.0,-488.0,488.0
ITPRID2,0.6638764,0.14024748,0.5519248,0.079610035,87.0,945.0,-858.0,858.0
LOC644617,0.66304743,0.14635445,0.51759356,0.08746693,88.0,1488.0,-1400.0,1400.0
CNPY2,0.6627224,0.119025856,0.49378204,0.080815546,89.0,1900.0,-1811.0,1811.0
PTPN22,0.6624152,0.12727821,0.677822,0.092368424,90.0,27.0,63.0,63.0
MAP7D2,0.66202635,0.11082697,0.5076609,0.0811027,91.0,1663.0,-1572.0,1572.0
EPM2A,0.6616164,0.17452644,0.64536613,0.08951859,92.0,88.0,4.0,4.0
NKX3-2,0.6611299,0.14091541,0.5814164,0.13443346,93.0,564.0,-471.0,471.0
SPINLW1,0.6606452,0.13235255,0.5757442,0.083536774,94.0,626.0,-532.0,532.0
TMEM150A,0.66027457,0.108208455,0.5150563,0.080935106,95.0,1532.0,-1437.0,1437.0
LOC256483,0.6600606,0.10755791,0.47409925,0.09660552,96.0,2225.0,-2129.0,2129.0
UQCRQ,0.65985274,0.119070135,0.64978474,0.08957993,97.0,78.0,19.0,19.0
MSMP,0.65966266,0.16200984,0.43747383,0.064621985,98.0,2625.0,-2527.0,2527.0
GNA12,0.65910167,0.13237792,0.48527658,0.095800966,99.0,2053.0,-1954.0,1954.0
PROSER3,0.658491,0.13831948,0.54884255,0.09427002,100.0,991.0,-891.0,891.0
UCN2,0.65787196,0.13561496,0.5584596,0.09143125,101.0,848.0,-747.0,747.0
NXF1,0.65773636,0.120844625,0.51477426,0.07598713,102.0,1536.0,-1434.0,1434.0
ALDH3B1,0.6576331,0.1287232,0.58931696,0.08012795,103.0,471.0,-368.0,368.0
ZNF503-AS2,0.65717846,0.11552882,0.5409737,0.09514917,104.0,1104.0,-1000.0,1000.0
MIR3142HG,0.6569222,0.12216188,0.4866655,0.10171032,105.0,2030.0,-1925.0,1925.0
SLCO1B7,0.6565034,0.10898417,0.49911013,0.07722246,106.0,1800.0,-1694.0,1694.0
PROZ,0.6563438,0.0992476,0.49121195,0.070934124,107.0,1959.0,-1852.0,1852.0
FANK1,0.6563317,0.12985356,0.39052173,0.094647475,108.0,2901.0,-2793.0,2793.0
TGIF2LX,0.655962,0.09714923,0.56224525,0.067388155,109.0,795.0,-686.0,686.0
LINS1,0.6557119,0.15006359,0.49192262,0.07256987,110.0,1940.0,-1830.0,1830.0
TRIML2,0.65505135,0.106293954,0.6492179,0.09120476,111.0,80.0,31.0,31.0
LOC100288238,0.6549628,0.11253152,0.45547023,0.103835486,112.0,2469.0,-2357.0,2357.0
MIRLET7BHG,0.65453905,0.097693175,0.4279185,0.07962522,113.0,2701.0,-2588.0,2588.0
KIDINS220,0.65442073,0.11288898,0.4689413,0.105729274,114.0,2305.0,-2191.0,2191.0
LOC100132481,0.6543754,0.1806807,0.5954235,0.073669635,115.0,413.0,-298.0,298.0
OR2L1P,0.65422857,0.13277055,0.69567037,0.0854556,116.0,7.0,109.0,109.0
LINC02817,0.6540407,0.1646037,0.57383543,0.09270858,117.0,647.0,-530.0,530.0
SNRNP40,0.6531948,0.1113177,0.48385927,0.096324705,118.0,2073.0,-1955.0,1955.0
KLRC1,0.6519397,0.12350554,0.5493133,0.08726821,119.0,980.0,-861.0,861.0
PTGS1,0.65184,0.13019985,0.4687807,0.09401763,120.0,2308.0,-2188.0,2188.0
NKX6-2,0.65146315,0.14373285,0.50369775,0.096980065,121.0,1715.0,-1594.0,1594.0
DDX19B,0.6510219,0.123228736,0.52556807,0.09937106,122.0,1344.0,-1222.0,1222.0
ARSI,0.65091354,0.124516256,0.499929,0.11419012,123.0,1787.0,-1664.0,1664.0
RAB39B,0.65029955,0.09347706,0.57246625,0.097431295,124.0,671.0,-547.0,547.0
GPR139,0.6497566,0.117750764,0.46206877,0.06524098,125.0,2379.0,-2254.0,2254.0
MARCHF10,0.64919174,0.12216767,0.54364634,0.07595226,126.0,1069.0,-943.0,943.0
DPY19L2P4,0.64859015,0.11584319,0.51417094,0.10729062,127.0,1550.0,-1423.0,1423.0
SCN1A,0.6480547,0.116516896,0.45447165,0.10025547,128.0,2480.0,-2352.0,2352.0
CMIP,0.64742535,0.1277335,0.5173889,0.07620471,129.0,1490.0,-1361.0,1361.0
BAZ2A,0.6470028,0.09160854,0.534737,0.08256213,130.0,1205.0,-1075.0,1075.0
NPIPB13,0.64689666,0.13724248,0.52585214,0.08787029,131.0,1341.0,-1210.0,1210.0
PROSER2,0.6466697,0.13159092,0.56928605,0.1017606,132.0,707.0,-575.0,575.0
GLRA3,0.6466219,0.15033977,0.5716267,0.0793604,133.0,682.0,-549.0,549.0
MGC24103,0.6464718,0.108151786,0.5752633,0.11093423,134.0,633.0,-499.0,499.0
LINC01116,0.64628,0.11462285,0.5548218,0.09316314,135.0,903.0,-768.0,768.0
ATE1,0.64599776,0.12516129,0.5879092,0.10395462,136.0,484.0,-348.0,348.0
ZC3H3,0.6454895,0.10252399,0.6077327,0.0726878,137.0,299.0,-162.0,162.0
TBX20,0.6449301,0.114791095,0.53209525,0.1473559,138.0,1242.0,-1104.0,1104.0
ZBP1,0.6448957,0.14328355,0.57347524,0.14493775,139.0,651.0,-512.0,512.0
ITGAL,0.64371794,0.14295894,0.5205207,0.07913855,140.0,1432.0,-1292.0,1292.0
OR6A2,0.6434923,0.12557565,0.38946876,0.09538733,141.0,2905.0,-2764.0,2764.0
TCN1,0.64250404,0.1321137,0.4778907,0.07150325,142.0,2165.0,-2023.0,2023.0
FXR1,0.6420234,0.15926406,0.5628987,0.08232709,143.0,785.0,-642.0,642.0
MYMK,0.64180064,0.12703544,0.54468566,0.085322835,144.0,1053.0,-909.0,909.0
RYK,0.64175314,0.1452183,0.3919098,0.098544106,145.0,2896.0,-2751.0,2751.0
OVCH1,0.6414681,0.11290054,0.48555285,0.0844724,146.0,2047.0,-1901.0,1901.0
