gene,residual_score,residual_std,gated_score,gated_std,residual_rank,gated_rank,rank_diff,abs_rank_diff
CSNK1A1,0.56722426,0.11528562,0.5759475,0.09386979,787.0,622.0,165.0,165.0
TFIP11,0.5672111,0.12561257,0.51759577,0.06529333,788.0,1486.0,-698.0,698.0
CSTL1,0.5671651,0.13687499,0.49597842,0.070493095,789.0,1861.0,-1072.0,1072.0
RUFY1,0.56700337,0.15400368,0.60878694,0.10847169,790.0,286.0,504.0,504.0
EVI5,0.56695503,0.12658426,0.66469544,0.106356055,791.0,47.0,744.0,744.0
N4BP2L2,0.56693685,0.136099,0.41072705,0.090562746,792.0,2812.0,-2020.0,2020.0
METTL16,0.56691444,0.13537943,0.46377388,0.08680395,793.0,2362.0,-1569.0,1569.0
SHOC1,0.5666613,0.12180945,0.505524,0.08016764,794.0,1690.0,-896.0,896.0
NTRK3,0.5666602,0.14010848,0.5928552,0.0798051,795.0,436.0,359.0,359.0
NQO2,0.566593,0.13620521,0.4705842,0.110993005,796.0,2284.0,-1488.0,1488.0
CPSF2,0.56648546,0.11830066,0.42530373,0.07650961,797.0,2720.0,-1923.0,1923.0
E2F8,0.5664669,0.12732483,0.58324295,0.1221599,798.0,540.0,258.0,258.0
SIGMAR1,0.56637895,0.114310555,0.41962525,0.07608329,799.0,2751.0,-1952.0,1952.0
NHLRC2,0.56623876,0.13396043,0.51244676,0.11763475,800.0,1585.0,-785.0,785.0
ENDOV,0.56619936,0.11854837,0.58354354,0.07879282,801.0,534.0,267.0,267.0
UTP18,0.5661139,0.11571532,0.41475353,0.10070025,802.0,2786.0,-1984.0,1984.0
IL12A,0.56589127,0.15698378,0.704451,0.08089309,803.0,3.0,800.0,800.0
HHLA2,0.5658553,0.16454132,0.47142532,0.095500894,804.0,2268.0,-1464.0,1464.0
SINHCAF,0.5657791,0.12986593,0.45197812,0.087649554,805.0,2509.0,-1704.0,1704.0
TAS1R3,0.5656496,0.14791667,0.532863,0.11811629,806.0,1232.0,-426.0,426.0
LINC00951,0.56544554,0.1009794,0.52191997,0.08875615,807.0,1409.0,-602.0,602.0
SETD2,0.5652751,0.13257162,0.5108881,0.10282925,808.0,1611.0,-803.0,803.0
PMS2,0.56524736,0.14944708,0.491452,0.10017501,809.0,1953.0,-1144.0,1144.0
SLC34A3,0.56519705,0.09798441,0.40076706,0.10191071,810.0,2863.0,-2053.0,2053.0
FAM155B,0.56496155,0.11003888,0.5628791,0.098618746,811.0,786.0,25.0,25.0
POPDC3,0.5649435,0.126729,0.62702835,0.087111846,812.0,180.0,632.0,632.0
APOBEC3C,0.5647756,0.15214506,0.46688217,0.08764803,813.0,2325.0,-1512.0,1512.0
DDX53,0.56476647,0.15973477,0.5116853,0.09750306,814.0,1594.0,-780.0,780.0
TXN2,0.5647663,0.1546158,0.5772834,0.07603469,815.0,605.0,210.0,210.0
GOLGA6L3P,0.5647089,0.118220374,0.49846262,0.07171411,816.0,1809.0,-993.0,993.0
ANKRD23,0.5646669,0.12616086,0.523383,0.09592886,817.0,1386.0,-569.0,569.0
GOLT1A,0.56460685,0.13771416,0.6131963,0.09551581,818.0,255.0,563.0,563.0
HYI,0.56456137,0.11536126,0.42812678,0.08063285,819.0,2697.0,-1878.0,1878.0
RRP1,0.56444806,0.12404549,0.54467225,0.11723566,820.0,1055.0,-235.0,235.0
FUZ,0.564397,0.13197628,0.52392316,0.06632337,821.0,1374.0,-553.0,553.0
C1GALT1C1,0.5643354,0.11390062,0.48178875,0.094825774,822.0,2110.0,-1288.0,1288.0
OSM,0.56429803,0.11434243,0.49188656,0.08621438,823.0,1942.0,-1119.0,1119.0
GTF2H2C_2,0.56399006,0.101841554,0.4914525,0.06439025,824.0,1952.0,-1128.0,1128.0
LINC02381,0.56398225,0.08645311,0.47420722,0.06565653,825.0,2223.0,-1398.0,1398.0
GSE1,0.5639789,0.18253891,0.5071909,0.06606507,826.0,1670.0,-844.0,844.0
AGPAT3,0.56397045,0.118841656,0.5003358,0.09572534,827.0,1780.0,-953.0,953.0
GALNT1,0.56396425,0.12058483,0.50248164,0.09030968,828.0,1739.0,-911.0,911.0
KRT25,0.5639319,0.13150747,0.5271612,0.072520584,829.0,1323.0,-494.0,494.0
STK32C,0.56389904,0.12006675,0.5471981,0.09428132,830.0,1018.0,-188.0,188.0
RPSA,0.56367385,0.14379725,0.41707823,0.08406848,831.0,2769.0,-1938.0,1938.0
ATP1B3,0.5636636,0.15457827,0.49242106,0.08735083,832.0,1932.0,-1100.0,1100.0
BDH2,0.5636511,0.103325635,0.39658895,0.0944319,833.0,2882.0,-2049.0,2049.0
NFE2,0.5635575,0.11063822,0.5093968,0.097821,834.0,1634.0,-800.0,800.0
FGL1,0.5635446,0.12187923,0.58861804,0.09370357,835.0,477.0,358.0,358.0
OR1F2P,0.5634624,0.14918222,0.46243754,0.11222937,836.0,2374.0,-1538.0,1538.0
ESPN,0.5630086,0.12719104,0.5263223,0.09249007,837.0,1333.0,-496.0,496.0
SLC26A6,0.5629809,0.11367879,0.50385433,0.099097915,838.0,1711.0,-873.0,873.0
CXCL11,0.56296855,0.1618591,0.5011897,0.12671521,839.0,1761.0,-922.0,922.0
ZC3H4,0.56296366,0.16133325,0.51144016,0.07729102,840.0,1601.0,-761.0,761.0
DSC3,0.56291914,0.11396213,0.5866926,0.07498074,841.0,497.0,344.0,344.0
PACRG,0.5628668,0.12497558,0.5173812,0.08872924,842.0,1491.0,-649.0,649.0
ENPP3,0.56286633,0.15226752,0.6435192,0.09701444,843.0,96.0,747.0,747.0
H2AC15,0.56280595,0.13709025,0.49907985,0.0949269,844.0,1802.0,-958.0,958.0
CASC3,0.56273025,0.13462643,0.56169564,0.088176295,845.0,805.0,40.0,40.0
DNHD1,0.5626329,0.19087695,0.49717733,0.074511565,846.0,1830.0,-984.0,984.0
SLC38A2,0.56254536,0.16111176,0.4754562,0.09033442,847.0,2203.0,-1356.0,1356.0
LINC00997,0.56248206,0.11090363,0.48540622,0.10842698,848.0,2052.0,-1204.0,1204.0
NPPB,0.5624618,0.1473148,0.47713545,0.085664086,849.0,2174.0,-1325.0,1325.0
CDC42EP5,0.56243354,0.13205123,0.44683176,0.103532635,850.0,2556.0,-1706.0,1706.0
OBSL1,0.56240314,0.124594584,0.6105254,0.07600606,851.0,272.0,579.0,579.0
ACTG1P20,0.5622799,0.16817966,0.44234124,0.07629155,852.0,2589.0,-1737.0,1737.0
AGO4,0.56225353,0.12466521,0.38094053,0.0920845,853.0,2939.0,-2086.0,2086.0
CDCA2,0.5622071,0.12079936,0.47006282,0.10552236,854.0,2294.0,-1440.0,1440.0
RAB9B,0.56216526,0.13841857,0.6364821,0.07853747,855.0,123.0,732.0,732.0
SLA,0.5620772,0.13481767,0.4464338,0.0991836,856.0,2562.0,-1706.0,1706.0
FNDC7,0.5620319,0.13124049,0.5566981,0.08783177,857.0,876.0,-19.0,19.0
SCAMP2,0.5617787,0.12518309,0.539706,0.09051098,858.0,1122.0,-264.0,264.0
LSM3,0.5616899,0.14825566,0.5734461,0.087874286,859.0,652.0,207.0,207.0
ZNF546,0.5616307,0.12310515,0.52207255,0.08147134,860.0,1406.0,-546.0,546.0
RIC3,0.56162983,0.11346938,0.4089742,0.11645563,861.0,2817.0,-1956.0,1956.0
TSPO2,0.56157154,0.11319958,0.4983609,0.09458561,862.0,1811.0,-949.0,949.0
H4C8,0.56154853,0.12005599,0.5006057,0.07249076,863.0,1773.0,-910.0,910.0
KRTAP4-12,0.5615218,0.11058413,0.39544585,0.080889724,864.0,2887.0,-2023.0,2023.0
SURF6,0.56142735,0.11889472,0.3969272,0.09213784,865.0,2880.0,-2015.0,2015.0
TARS1,0.5613325,0.16881487,0.50294614,0.09550574,866.0,1730.0,-864.0,864.0
UBTD1,0.56132895,0.13090757,0.50983584,0.07156776,867.0,1624.0,-757.0,757.0
ADAMTS7,0.5611051,0.16090713,0.49480784,0.08713981,868.0,1882.0,-1014.0,1014.0
DEFB104B,0.5610614,0.15929106,0.4718366,0.122127324,869.0,2261.0,-1392.0,1392.0
OTUD6B,0.56098044,0.13063493,0.5376365,0.10278847,870.0,1161.0,-291.0,291.0
NINJ1,0.5609582,0.12123057,0.60980296,0.07037983,871.0,280.0,591.0,591.0
MGC4294,0.5608932,0.11148923,0.42780355,0.0802457,872.0,2703.0,-1831.0,1831.0
OR5AS1,0.56087637,0.13649355,0.61584884,0.08361312,873.0,232.0,641.0,641.0
TRIM71,0.56060666,0.10639244,0.6344671,0.07159646,874.0,136.0,738.0,738.0
GCSH,0.56044036,0.13869353,0.6355723,0.08592623,875.0,129.0,746.0,746.0
SLC5A4,0.56026536,0.13119416,0.42364886,0.09063429,876.0,2727.0,-1851.0,1851.0
TRIM6,0.5602386,0.124935105,0.6083575,0.07879059,877.0,291.0,586.0,586.0
HYAL1,0.5601516,0.13109007,0.5816883,0.11302595,878.0,561.0,317.0,317.0
C1QBP,0.5600349,0.15005103,0.48968625,0.08679574,879.0,1982.0,-1103.0,1103.0
P2RX3,0.55996794,0.15849987,0.51298994,0.08559387,880.0,1574.0,-694.0,694.0
TFE3,0.55990726,0.13893424,0.54041344,0.118086316,881.0,1112.0,-231.0,231.0
NPNT,0.5596628,0.11579272,0.60178906,0.07294113,882.0,350.0,532.0,532.0
SLC28A1,0.5596063,0.14021568,0.4918965,0.11507659,883.0,1941.0,-1058.0,1058.0
CHIC1,0.55954075,0.13187052,0.45698994,0.13864869,884.0,2450.0,-1566.0,1566.0
NUDT16L1,0.5594998,0.10160037,0.5195713,0.11737898,885.0,1449.0,-564.0,564.0
CMAS,0.55942434,0.11663297,0.5205001,0.081111304,886.0,1433.0,-547.0,547.0
GUF1,0.5592549,0.10858062,0.56980413,0.09934835,887.0,703.0,184.0,184.0
FAM104A,0.55917823,0.11761303,0.6435577,0.08922743,888.0,95.0,793.0,793.0
NLK,0.5590334,0.11496743,0.50312895,0.114356756,889.0,1728.0,-839.0,839.0
NACC2,0.5589374,0.10214828,0.44878736,0.11548471,890.0,2537.0,-1647.0,1647.0
ALX1,0.55890286,0.15722461,0.51622075,0.10334597,891.0,1507.0,-616.0,616.0
MYOZ1,0.55885804,0.14548789,0.48918,0.08152229,892.0,1993.0,-1101.0,1101.0
TMEM41A,0.55885434,0.15380688,0.68859,0.07894486,893.0,16.0,877.0,877.0
SNUPN,0.5587073,0.14767319,0.5522426,0.10224289,894.0,939.0,-45.0,45.0
SCFD1,0.5587051,0.12825601,0.55705667,0.10244496,895.0,872.0,23.0,23.0
OR5M3,0.5586755,0.12677608,0.45777908,0.0734642,896.0,2439.0,-1543.0,1543.0
L3MBTL4,0.5586112,0.12068714,0.42565238,0.10309836,897.0,2718.0,-1821.0,1821.0
MORN3,0.5585382,0.17757861,0.53003937,0.06961724,898.0,1273.0,-375.0,375.0
C20orf181,0.5585178,0.15169941,0.6448909,0.07167718,899.0,90.0,809.0,809.0
GRIK3,0.5584744,0.14557818,0.59447724,0.07555816,900.0,424.0,476.0,476.0
SEC31A,0.5584394,0.13461486,0.5492672,0.10698716,901.0,982.0,-81.0,81.0
SLC35G3,0.5584058,0.11146606,0.49098918,0.07233741,902.0,1963.0,-1061.0,1061.0
RASGRP3,0.55831695,0.14625864,0.5332992,0.13059446,903.0,1226.0,-323.0,323.0
VN1R2,0.5582756,0.17586288,0.5351798,0.09439164,904.0,1200.0,-296.0,296.0
GTF2A1L,0.55818933,0.10230665,0.57329714,0.09417383,905.0,656.0,249.0,249.0
RAB14,0.558145,0.12109081,0.5265354,0.10159031,906.0,1329.0,-423.0,423.0
ITFG2-AS1,0.5581278,0.09645167,0.48459196,0.08119997,907.0,2069.0,-1162.0,1162.0
SPINK5,0.55811864,0.15300632,0.5524731,0.08124564,908.0,934.0,-26.0,26.0
PDZRN3,0.5580086,0.16393703,0.573015,0.09227867,909.0,660.0,249.0,249.0
P2RX6P,0.55798656,0.13226882,0.45838556,0.082764894,910.0,2431.0,-1521.0,1521.0
CLCN7,0.55796605,0.09792245,0.5294613,0.09882688,911.0,1288.0,-377.0,377.0
DENND11,0.55795515,0.12485828,0.41723824,0.15042304,912.0,2768.0,-1856.0,1856.0
SFTPC,0.55790764,0.15402426,0.40168175,0.08310029,913.0,2859.0,-1946.0,1946.0
ZNF829,0.55764997,0.13832527,0.45345914,0.098246306,914.0,2487.0,-1573.0,1573.0
ERMARD,0.5576326,0.10646839,0.54420024,0.14483534,915.0,1063.0,-148.0,148.0
SHROOM3,0.55736566,0.09334875,0.4434349,0.0927266,916.0,2580.0,-1664.0,1664.0
TTI1,0.5573421,0.20103507,0.53362,0.102375366,917.0,1223.0,-306.0,306.0
CIROP,0.55733466,0.117907874,0.63454473,0.0861346,918.0,135.0,783.0,783.0
RACGAP1,0.5573233,0.22215274,0.52680683,0.08196622,919.0,1326.0,-407.0,407.0
LIPK,0.5573151,0.16406962,0.61521745,0.11653825,920.0,235.0,685.0,685.0
MSRB3,0.55709326,0.13197733,0.43095678,0.102675535,921.0,2673.0,-1752.0,1752.0
PKP4,0.5569549,0.107987836,0.6390235,0.098854996,922.0,114.0,808.0,808.0
LINC01579,0.55678266,0.16215163,0.43188524,0.093473,923.0,2662.0,-1739.0,1739.0
POFUT1,0.5567614,0.14549813,0.54891497,0.086763754,924.0,988.0,-64.0,64.0
TPSD1,0.55668414,0.122032955,0.56072533,0.08845291,925.0,817.0,108.0,108.0
NAV1,0.5563905,0.12962031,0.58195394,0.08284109,926.0,554.0,372.0,372.0
RAD23B,0.55633265,0.14445083,0.4354466,0.07004835,927.0,2640.0,-1713.0,1713.0
INO80E,0.5562944,0.12923561,0.4035039,0.096948266,928.0,2848.0,-1920.0,1920.0
ISM2,0.5562247,0.13023685,0.49288136,0.1417313,929.0,1924.0,-995.0,995.0
C6orf185,0.55617726,0.11179479,0.544759,0.09346535,930.0,1051.0,-121.0,121.0
SMURF1,0.5561681,0.17179413,0.5703345,0.078248225,931.0,697.0,234.0,234.0
SPINK14,0.55603975,0.11674892,0.5718162,0.0929809,932.0,680.0,252.0,252.0
FKBPL,0.55602545,0.10938855,0.58506167,0.087328605,933.0,517.0,416.0,416.0
RABGEF1P1,0.55596495,0.13206924,0.58401704,0.1060295,934.0,527.0,407.0,407.0
SNORD36C,0.55589217,0.11849104,0.6046226,0.07869383,935.0,325.0,610.0,610.0
MECP2,0.5557761,0.10467426,0.47287956,0.07644456,936.0,2245.0,-1309.0,1309.0
SYN2,0.55574805,0.18452367,0.55450636,0.11207467,937.0,907.0,30.0,30.0
OR5H6,0.5557127,0.16214952,0.5923623,0.08912783,938.0,440.0,498.0,498.0
ZFP69,0.55565405,0.12131457,0.5087972,0.087701544,939.0,1642.0,-703.0,703.0
CNTRL,0.55539894,0.15954569,0.50552124,0.09093158,940.0,1692.0,-752.0,752.0
C9orf27,0.5553133,0.1298902,0.49148488,0.087500185,941.0,1950.0,-1009.0,1009.0
NAV2-AS4,0.5552509,0.17094067,0.5106802,0.11331719,942.0,1612.0,-670.0,670.0
DDAH2,0.55520856,0.12798828,0.45931536,0.09271821,943.0,2414.0,-1471.0,1471.0
ADGRF4,0.55508345,0.12239271,0.47088486,0.08607521,944.0,2279.0,-1335.0,1335.0
AK022898,0.5549259,0.12836307,0.5134405,0.07228667,945.0,1564.0,-619.0,619.0
MIEF1,0.5544404,0.14733833,0.40121305,0.10555467,946.0,2861.0,-1915.0,1915.0
OR9A4,0.5544305,0.14292435,0.55398685,0.08829123,947.0,915.0,32.0,32.0
SAMD4A-AS1,0.55432814,0.15080458,0.63834715,0.107681245,948.0,116.0,832.0,832.0
GRAMD1C,0.5543064,0.12034552,0.4789312,0.113853104,949.0,2147.0,-1198.0,1198.0
TRIM17,0.55429864,0.14363793,0.45651257,0.11364236,950.0,2454.0,-1504.0,1504.0
MME,0.55429393,0.10394231,0.56442344,0.0753518,951.0,762.0,189.0,189.0
VPREB1,0.55413234,0.11708657,0.49095243,0.09581923,952.0,1965.0,-1013.0,1013.0
RTP3,0.55410135,0.10188376,0.50705725,0.082309484,953.0,1671.0,-718.0,718.0
IL16,0.55398095,0.121911444,0.44544896,0.07977422,954.0,2570.0,-1616.0,1616.0
CAPN7,0.553911,0.14700659,0.48678496,0.093156144,955.0,2028.0,-1073.0,1073.0
SEMA5B,0.55383575,0.14339104,0.48169482,0.09398887,956.0,2112.0,-1156.0,1156.0
LOC100131756,0.55372036,0.17764138,0.47256997,0.1105307,957.0,2249.0,-1292.0,1292.0
ACTR3BP2,0.55341774,0.15026572,0.55745745,0.12089929,958.0,865.0,93.0,93.0
PLEK,0.5533903,0.1198287,0.54917556,0.08151428,959.0,984.0,-25.0,25.0
CACNA2D1,0.5532524,0.10391866,0.5510876,0.08961936,960.0,957.0,3.0,3.0
HEY1,0.5532188,0.15646523,0.51986456,0.106307775,961.0,1443.0,-482.0,482.0
GRK3,0.5532035,0.105438724,0.5007685,0.092643596,962.0,1770.0,-808.0,808.0
TGFA,0.55310655,0.12014602,0.5125985,0.089283034,963.0,1581.0,-618.0,618.0
KLRG1,0.5530475,0.098306105,0.5890132,0.08659309,964.0,473.0,491.0,491.0
FYTTD1,0.5530259,0.16478673,0.55048704,0.06992132,965.0,966.0,-1.0,1.0
PDCD7,0.55301017,0.124478616,0.5078802,0.0765055,966.0,1658.0,-692.0,692.0
PNKD,0.55299866,0.13825564,0.49174228,0.06949197,967.0,1946.0,-979.0,979.0
SCAMP1,0.5529678,0.11476218,0.41312805,0.09061383,968.0,2796.0,-1828.0,1828.0
SPNS1,0.55296147,0.12834674,0.5057768,0.11137019,969.0,1687.0,-718.0,718.0
PTPN18,0.55291337,0.12296539,0.4960922,0.09096391,970.0,1858.0,-888.0,888.0
OR5V1,0.5528159,0.14826584,0.5028739,0.09784553,971.0,1731.0,-760.0,760.0
DEFB135,0.55272174,0.11889455,0.5880893,0.09443544,972.0,482.0,490.0,490.0
HS6ST3,0.5527046,0.12341407,0.57777166,0.078876145,973.0,597.0,376.0,376.0
SUN2,0.55262333,0.17869084,0.6101806,0.09875973,974.0,277.0,697.0,697.0
GNAZ,0.552622,0.11465352,0.54360396,0.08268242,975.0,1071.0,-96.0,96.0
SMIM26,0.5525044,0.12157129,0.5762598,0.098398924,976.0,616.0,360.0,360.0
RRP12,0.55248725,0.121411994,0.54997945,0.10693101,977.0,973.0,4.0,4.0
TRMT61B,0.5524702,0.14544573,0.5255306,0.11653151,978.0,1345.0,-367.0,367.0
HOXB13,0.55237687,0.14506818,0.47744662,0.098562665,979.0,2171.0,-1192.0,1192.0
FBXO34,0.55235344,0.13705109,0.4803689,0.07398078,980.0,2129.0,-1149.0,1149.0
MVP,0.5523303,0.12381608,0.529725,0.0824793,981.0,1282.0,-301.0,301.0
CDK14,0.55229485,0.16254856,0.45434752,0.09234119,982.0,2482.0,-1500.0,1500.0
ERC1,0.55229163,0.13839202,0.69167334,0.09004095,983.0,12.0,971.0,971.0
CCDC102B,0.5522746,0.13466087,0.53631127,0.08860726,984.0,1188.0,-204.0,204.0
POM121C,0.5522475,0.11447843,0.6489026,0.08501838,985.0,81.0,904.0,904.0
RBBP8,0.5520912,0.11349809,0.46744066,0.0946485,986.0,2318.0,-1332.0,1332.0
GOLGA6C,0.5519909,0.10349645,0.47035998,0.10338828,987.0,2290.0,-1303.0,1303.0
LINC00312,0.551878,0.099538594,0.56358033,0.08839169,988.0,775.0,213.0,213.0
NFKBIB,0.55169594,0.12802279,0.49302915,0.11536359,989.0,1918.0,-929.0,929.0
SNORD100,0.5516004,0.14546332,0.68406606,0.08746529,990.0,18.0,972.0,972.0
PRX,0.5515633,0.13575359,0.538258,0.10854963,991.0,1146.0,-155.0,155.0
GET3,0.551196,0.16480817,0.54655224,0.12239291,992.0,1026.0,-34.0,34.0
OR10C1,0.5511949,0.12263218,0.5202052,0.08710859,993.0,1440.0,-447.0,447.0
PSORS1C1,0.55109817,0.13556804,0.43174455,0.08669365,994.0,2667.0,-1673.0,1673.0
TRIM55,0.5510002,0.12075946,0.5389252,0.07348198,995.0,1135.0,-140.0,140.0
INCA1,0.550882,0.09693081,0.53326035,0.071983844,996.0,1227.0,-231.0,231.0
MGC57346,0.55087423,0.08599739,0.5589401,0.08611152,997.0,841.0,156.0,156.0
THSD7B,0.55078065,0.09991218,0.55228347,0.08774204,998.0,938.0,60.0,60.0
USP18,0.55060196,0.11724748,0.56885636,0.10044252,999.0,712.0,287.0,287.0
KRTAP26-1,0.5505754,0.13327564,0.55392087,0.08279745,1000.0,917.0,83.0,83.0
GRIP1,0.5505468,0.13454664,0.6763483,0.13007137,1001.0,29.0,972.0,972.0
IFI16,0.5505197,0.18570994,0.50191677,0.078272715,1002.0,1749.0,-747.0,747.0
LOC389300,0.55038434,0.13529384,0.56925255,0.10533301,1003.0,708.0,295.0,295.0
MTG2,0.55037665,0.104303114,0.3889104,0.09231017,1004.0,2909.0,-1905.0,1905.0
SULT2B1,0.55032617,0.123759426,0.51592976,0.08220102,1005.0,1511.0,-506.0,506.0
RAD9A,0.550263,0.1287939,0.57033014,0.0825296,1006.0,698.0,308.0,308.0
TMEM19,0.55026,0.15571089,0.61868113,0.0936878,1007.0,218.0,789.0,789.0
L3MBTL3,0.5500368,0.107043125,0.39690527,0.08162283,1008.0,2881.0,-1873.0,1873.0
FOXR1,0.54998064,0.19431856,0.58907425,0.09745281,1009.0,472.0,537.0,537.0
LYSMD2,0.54990387,0.12721997,0.5765674,0.12032041,1010.0,612.0,398.0,398.0
PPIL6,0.5498999,0.11509026,0.58457667,0.085830465,1011.0,523.0,488.0,488.0
DPY19L2P2,0.549859,0.11513839,0.52608097,0.095626004,1012.0,1336.0,-324.0,324.0
OR11G2,0.54966164,0.13048217,0.49132606,0.07683459,1013.0,1955.0,-942.0,942.0
LINC00273,0.5496258,0.13261919,0.57690865,0.06893591,1014.0,607.0,407.0,407.0
SPPL2A,0.5495056,0.12818955,0.45901427,0.09203374,1015.0,2421.0,-1406.0,1406.0
MIA,0.54946446,0.14284983,0.51831955,0.08620031,1016.0,1466.0,-450.0,450.0
COL25A1,0.5493041,0.11917972,0.5785708,0.0882494,1017.0,594.0,423.0,423.0
AKAP1,0.5492725,0.12652718,0.5105032,0.09354885,1018.0,1617.0,-599.0,599.0
CASP8AP2,0.5492192,0.12071613,0.54063666,0.081338555,1019.0,1108.0,-89.0,89.0
AKIRIN1,0.54912466,0.13103427,0.6448726,0.105367884,1020.0,91.0,929.0,929.0
AACS,0.5490364,0.1508662,0.56087154,0.079090305,1021.0,814.0,207.0,207.0
NECTIN1,0.54903525,0.1293981,0.45896566,0.09356595,1022.0,2423.0,-1401.0,1401.0
ACOT12,0.5488668,0.11215092,0.40890476,0.10271678,1023.0,2819.0,-1796.0,1796.0
DYNC2H1,0.5487756,0.16577885,0.53390574,0.113237634,1024.0,1219.0,-195.0,195.0
HOXA7,0.54869425,0.15186344,0.5519742,0.08582446,1025.0,942.0,83.0,83.0
SASH1,0.5484135,0.15311275,0.5148103,0.08246421,1026.0,1535.0,-509.0,509.0
LINC01869,0.5483421,0.11817326,0.4367344,0.09262446,1027.0,2633.0,-1606.0,1606.0
GSTP1,0.54825133,0.12784602,0.52720726,0.08031954,1028.0,1322.0,-294.0,294.0
TTY1,0.5481354,0.13575073,0.5484817,0.10820369,1029.0,997.0,32.0,32.0
BPY2,0.54811,0.101941034,0.5790514,0.08986459,1030.0,591.0,439.0,439.0
C15orf39,0.5480311,0.14608154,0.44698977,0.11384706,1031.0,2552.0,-1521.0,1521.0
GSTA2,0.5479929,0.147399,0.5043671,0.07483369,1032.0,1702.0,-670.0,670.0
LOC100289058,0.5479142,0.12817681,0.55397034,0.09078882,1033.0,916.0,117.0,117.0
CLPX,0.5478666,0.1492873,0.47867206,0.09455233,1034.0,2151.0,-1117.0,1117.0
SGCG,0.5477338,0.12120803,0.6340088,0.08767936,1035.0,138.0,897.0,897.0
TLX2,0.54766035,0.15963069,0.34482235,0.097944185,1036.0,2988.0,-1952.0,1952.0
AP4S1,0.54762924,0.16466165,0.529172,0.090217985,1037.0,1291.0,-254.0,254.0
CECR2,0.5475209,0.1289829,0.49386138,0.08287554,1038.0,1897.0,-859.0,859.0
GABBR2,0.5475006,0.20097001,0.4663511,0.08371768,1039.0,2331.0,-1292.0,1292.0
SOST,0.5473463,0.11317219,0.5115805,0.081938505,1040.0,1596.0,-556.0,556.0
LINC02072,0.5473185,0.14398086,0.48175952,0.1279763,1041.0,2111.0,-1070.0,1070.0
EVI2B,0.5472573,0.12910159,0.4027664,0.09091358,1042.0,2853.0,-1811.0,1811.0
BRPF3,0.54724747,0.12012106,0.5508532,0.0768239,1043.0,959.0,84.0,84.0
FOCAD,0.5471204,0.12124605,0.57158655,0.0866724,1044.0,685.0,359.0,359.0
PDE8B,0.5469206,0.15719208,0.5034219,0.09333641,1045.0,1721.0,-676.0,676.0
RASAL2,0.5467458,0.10609148,0.6102524,0.09398054,1046.0,276.0,770.0,770.0
SERINC1,0.5466771,0.17578839,0.47149253,0.1049673,1047.0,2266.0,-1219.0,1219.0
PRDM15,0.5466712,0.15006769,0.5154046,0.09721096,1048.0,1524.0,-476.0,476.0
DKFZp451A211,0.5466014,0.12555394,0.5298326,0.12352911,1049.0,1279.0,-230.0,230.0
DDX11,0.5465212,0.098109625,0.4909276,0.09897728,1050.0,1967.0,-917.0,917.0
VIPAS39,0.54649174,0.11897471,0.51818484,0.076503016,1051.0,1470.0,-419.0,419.0
SKP1,0.54647416,0.0921113,0.52305233,0.106566705,1052.0,1392.0,-340.0,340.0
PEG10,0.5462991,0.14369127,0.50032127,0.12981616,1053.0,1781.0,-728.0,728.0
PUSL1,0.54624367,0.15316316,0.6284506,0.0821883,1054.0,172.0,882.0,882.0
AX747659,0.5462336,0.088069685,0.59024906,0.113077946,1055.0,459.0,596.0,596.0
AAA1,0.546232,0.11892287,0.5757597,0.07418941,1056.0,624.0,432.0,432.0
FPR1,0.5459725,0.14036846,0.47347784,0.1006906,1057.0,2235.0,-1178.0,1178.0
MOGS,0.54595935,0.12388417,0.5925373,0.06859247,1058.0,439.0,619.0,619.0
MORC4,0.54591745,0.11919939,0.43958098,0.07716394,1059.0,2610.0,-1551.0,1551.0
RPTN,0.5457616,0.12881911,0.58716625,0.07056133,1060.0,490.0,570.0,570.0
KAT2B,0.54549193,0.14256503,0.5249425,0.09969166,1061.0,1356.0,-295.0,295.0
PRRX2,0.5454422,0.12970306,0.56079775,0.10384373,1062.0,815.0,247.0,247.0
MAU2,0.5453872,0.11474287,0.4909609,0.08754804,1063.0,1964.0,-901.0,901.0
CD5,0.5453787,0.13222745,0.57628477,0.08422411,1064.0,614.0,450.0,450.0
CABP2,0.5452429,0.10892588,0.5472895,0.09624875,1065.0,1014.0,51.0,51.0
PLPPR5,0.54510117,0.11996671,0.6176737,0.10037117,1066.0,227.0,839.0,839.0
PLEKHM3,0.54508364,0.12087559,0.514432,0.07393094,1067.0,1544.0,-477.0,477.0
RINT1,0.5449399,0.13203986,0.44979185,0.10632211,1068.0,2524.0,-1456.0,1456.0
SWAP70,0.54490733,0.12004641,0.53677964,0.09457538,1069.0,1179.0,-110.0,110.0
SF3B1,0.54489243,0.12645853,0.5118941,0.086567335,1070.0,1589.0,-519.0,519.0
BPIFB2,0.54476625,0.15246356,0.37436882,0.08530829,1071.0,2954.0,-1883.0,1883.0
CCZ1,0.5447595,0.1297735,0.5682862,0.10839,1072.0,716.0,356.0,356.0
KIAA0556,0.54475546,0.1303514,0.5506896,0.11135016,1073.0,961.0,112.0,112.0
GTF2IRD2B,0.54448485,0.1488712,0.39085382,0.09547358,1074.0,2899.0,-1825.0,1825.0
C5orf4,0.5444578,0.11948953,0.5950529,0.13617888,1075.0,416.0,659.0,659.0
