gene,mean_gate_score,std_gate_score
ASAH2,0.6272282,0.09962404
CALML6,0.627156,0.078485556
POPDC3,0.62702835,0.087111846
ZBTB14,0.6267249,0.08034356
PHYHIP,0.6264559,0.08739427
DENND5B,0.62592393,0.10002769
CYB561D2,0.6258264,0.09237589
CHKB,0.62566054,0.07938291
UBE2V2,0.6255761,0.079682395
LINC01973,0.6248298,0.07596963
TCAP,0.62428194,0.11789936
C3orf36,0.6242566,0.10047011
UGDH,0.6240061,0.07819256
SIRPB1,0.6238154,0.08757753
TDP2,0.6237222,0.09425582
PSMD2,0.62315184,0.06773605
OLFML1,0.62313205,0.06614156
USP9Y,0.6225655,0.07404022
SRPRA,0.6223196,0.082033575
CRISPLD2,0.6222295,0.12788394
H2AC7,0.6220851,0.07783483
SH3RF2,0.62151587,0.110122964
OR13C4,0.6215062,0.08396428
DMRTA1,0.6212477,0.089312926
APLP2,0.6207279,0.09813894
RNH1,0.62070924,0.10299675
ZNF74,0.62062836,0.09865281
ARL2BP,0.62016267,0.0892603
LOC100288208,0.62015426,0.12953389
C12orf4,0.61997205,0.11507603
GPR176,0.6198954,0.11519525
CD300LG,0.6198409,0.104520686
CKMT1B,0.6197823,0.08458916
TRPM4,0.61947143,0.103016876
PDCL3P4,0.6194604,0.10365548
SGK2,0.6194187,0.09683829
STEAP2,0.61938953,0.068769805
PSMD11,0.6187976,0.088214636
CTAG2,0.6187937,0.070537634
GPAT4,0.6186822,0.08834259
TMEM19,0.61868113,0.0936878
H2BC7,0.6186713,0.08505252
FLG,0.61848074,0.090856075
KIF13A,0.6184421,0.08079883
OR6C68,0.6184287,0.08990246
TCEAL9,0.6180468,0.11570484
TMSB15B,0.61802363,0.10529357
TMEM220,0.6178364,0.08017756
LOC729175,0.61771125,0.094290756
PLPPR5,0.6176737,0.10037117
LINC00115,0.61752665,0.093484804
CCDC33,0.6173853,0.087323934
DLX2,0.6169546,0.08244993
METTL21EP,0.6164647,0.07576134
OR5AS1,0.61584884,0.08361312
CASP12,0.61552864,0.08743133
HEPACAM2,0.6153407,0.07263554
LIPK,0.61521745,0.11653825
MYEF2,0.6152031,0.10157844
HCP5,0.61509913,0.077865325
MTMR14,0.6150633,0.076439045
CEBPD,0.6150305,0.080415055
NMUR2,0.61486316,0.09375269
PWP2,0.6146974,0.082640894
TERF1,0.61460954,0.08289427
SRGAP2,0.61455274,0.10901098
OXER1,0.6145346,0.07250159
CDC14B,0.6143451,0.07936579
NFX1,0.61427945,0.080248274
ZSCAN21,0.614217,0.11251575
PRLH,0.61408204,0.07053339
SPRED3,0.6139819,0.06845694
BPIFB1,0.6138576,0.09364667
LOC100129408,0.6138435,0.07967588
NCRNA00258,0.61341673,0.07928169
PLK3,0.61338806,0.07716238
MANEA,0.6133382,0.093016654
GOLT1A,0.6131963,0.09551581
LBX2,0.6131208,0.10281961
STARD5,0.61305404,0.08995496
PDE3A,0.61290514,0.07632341
LOC646999,0.6127089,0.06957204
GDA,0.61242366,0.0744051
PNP,0.61233056,0.082683414
RPS6KA2,0.61222285,0.09286842
AMH,0.6120831,0.09032616
IGFL3,0.6118822,0.080361255
NAPB,0.6117728,0.100913264
YWHAEP7,0.6116167,0.104606025
SNORD33,0.61154175,0.07933135
FOXP2,0.6114109,0.1053573
LINC01405,0.61136556,0.09269687
RELB,0.61107296,0.07334289
LRRC69,0.6106576,0.08831953
OBSL1,0.6105254,0.07600606
KCNT2,0.610419,0.072170235
SNORD35B,0.6103541,0.105638996
GCNT2P1,0.61029875,0.09205092
RASAL2,0.6102524,0.09398054
SUN2,0.6101806,0.09875973
SPEM1,0.6099406,0.07112883
INA,0.6098641,0.09856518
NINJ1,0.60980296,0.07037983
SH3D19,0.6097892,0.08746698
PDCD2L,0.60975105,0.091285996
QARS1,0.6096261,0.088220865
SLAMF1,0.6090962,0.082924105
C17orf82,0.6089266,0.07945937
RUFY1,0.60878694,0.10847169
EFCAB4B,0.608713,0.090702906
NUDT17,0.6084268,0.102304615
PDE1C,0.60841197,0.095651664
CLEC10A,0.6083694,0.088090435
TRIM6,0.6083575,0.07879059
F11-AS1,0.608193,0.09745333
EEF1DP3,0.608022,0.08317666
F3,0.60797685,0.10226366
SEPTIN4,0.6078993,0.09186957
TMEM270,0.6078568,0.08374237
PHLDA3,0.6078514,0.08837312
ZNF786,0.6077776,0.08946164
ZC3H3,0.6077327,0.0726878
CCDC26,0.6074626,0.122904755
CTAGE10P,0.6074248,0.12392863
PHYHD1,0.60741633,0.08489407
SLC50A1,0.6073961,0.0709711
CASC1,0.60716003,0.09591712
HAS3,0.60705316,0.07171365
KSR1,0.6070308,0.10445353
CCDC155,0.606846,0.09261925
DNAH7,0.60657305,0.10130707
SLC25A45,0.60648066,0.08810894
GPR6,0.6064599,0.07172807
LOC100131820,0.60615236,0.08964148
CTRL,0.60615236,0.13141498
TRIT1,0.60597956,0.10499379
ABCA12,0.605789,0.08701013
ASB10,0.60560405,0.09476452
TRAF3IP2-AS1,0.60538656,0.09205524
OR8B8,0.6052487,0.11503989
MOK,0.60506994,0.09374591
APBA1,0.60492307,0.080837525
NANOS3,0.6048915,0.11108756
DDA1,0.60481095,0.08213035
ARHGAP26,0.6048093,0.09363288
ACBD3,0.60470974,0.0888993
P2RY11,0.6046976,0.104026146
SNORD36C,0.6046226,0.07869383
VWC2L,0.60457426,0.08890426
DEFB103B,0.6041839,0.098790966
C3AR1,0.60414755,0.08159047
S100A14,0.60407156,0.09672378
ZXDC,0.60406035,0.11916362
ECM1,0.6040539,0.10103835
ZNF354C,0.6037872,0.08607799
CDK15,0.60370934,0.12587413
TRIM34,0.6036639,0.09138576
IL33,0.6035125,0.10317407
GATA4,0.6031215,0.07078257
MRM3,0.6030792,0.118216254
PPP1R27,0.60306233,0.124375075
GAL3ST2,0.60298944,0.087534286
C20orf194,0.602729,0.102939524
OR2T11,0.6025998,0.08740901
L3MBTL,0.6025379,0.07787342
FGF9,0.60252905,0.08128505
RBCK1,0.6025208,0.098897666
AGBL5,0.6024141,0.092068784
CDHR4,0.6023383,0.082257636
NUB1,0.60232306,0.083818346
SLC35E1,0.6021505,0.08193996
UBE2MP1,0.6020886,0.0792591
NPNT,0.60178906,0.07294113
GRASP,0.6016328,0.079064064
ANXA8L1,0.6014097,0.101804085
SVIL,0.6014032,0.09246687
ANP32E,0.6013386,0.11119648
MT1IP,0.6013077,0.07429937
PSTPIP2,0.6012651,0.09498367
NLGN4Y,0.60113853,0.09090468
COL21A1,0.600973,0.09327926
SERPINC1,0.6009281,0.071735315
PPM1F,0.60083216,0.09660116
EID3,0.6008278,0.06984004
LRRC8D,0.60063326,0.08885422
BTBD17,0.60054386,0.10007561
CBX4,0.6005428,0.08965275
AKR1C6P,0.6000769,0.08626526
PUM1,0.59994936,0.084899604
FTSJ1,0.5998873,0.09989507
ZNF688,0.59986365,0.0796118
MSL2,0.5998312,0.10352553
OR4F21,0.59981036,0.075457685
GRB10,0.59959364,0.08278075
CELA3A,0.5995835,0.11547192
ARHGEF19,0.59947574,0.07158217
SUMO3,0.59942466,0.107683055
USP14,0.5988149,0.11541008
MUC13,0.59873074,0.08271939
HSD3B7,0.59867287,0.09107969
LINC01165,0.59853756,0.07664286
NPB,0.59836346,0.08792819
TMEM236,0.5982694,0.082972966
CBR3,0.5982468,0.075039275
THBD,0.59820724,0.09832103
NFE4,0.5981549,0.09389678
OR4X1,0.5980614,0.11198463
LOC100128059,0.598035,0.086215295
LRRC61,0.5979504,0.13420023
CLDN19,0.5974347,0.09980171
GIMAP7,0.59740037,0.086278856
DNAH11,0.59732425,0.10007368
SIGLEC12,0.5972194,0.08969599
OSTM1,0.5970964,0.116662644
RFT1,0.597039,0.071746334
CCNY,0.59702945,0.10534565
PHTF2,0.5970116,0.083812326
KRTAP5-5,0.5967768,0.109572336
ACTRT3,0.5967526,0.08442408
CCDC74A,0.5966739,0.070230186
TTYH3,0.59653616,0.09801485
GMNN,0.5964327,0.066789955
CACNA1B,0.5962506,0.12636817
LOC150005,0.5962178,0.101701505
MMP19,0.5961699,0.09767957
SYTL3,0.5961279,0.07334417
ROPN1L,0.59599453,0.079311475
APOA2,0.5959158,0.08935693
ASPHD1,0.595827,0.084576435
DNALI1,0.59582543,0.073718816
RPA1,0.5957582,0.07584088
FURIN,0.59571046,0.08101209
PMEPA1,0.5956354,0.08129185
DUSP19,0.5955613,0.08488434
AFF4,0.59553254,0.09150754
LOC100132481,0.5954235,0.073669635
C11orf54,0.595399,0.09343701
FAAP100,0.59524274,0.073434874
C5orf4,0.5950529,0.13617888
TRMT2B,0.59497523,0.093072094
PGP,0.5948413,0.07425328
GSTM4,0.59482795,0.077516854
CD83,0.59480757,0.089068204
SOX6,0.5947776,0.07970224
CLIC6,0.5947662,0.111033894
CHGA,0.5946312,0.095332876
GRIK3,0.59447724,0.07555816
TNRC6A,0.5944479,0.09591769
TBPL1,0.59442353,0.10309474
SLC35E3,0.59431475,0.095327064
PIEZO1-AS1,0.5942788,0.082943834
GALK1,0.5941527,0.07825672
FUS,0.5937064,0.08853383
HBA2,0.59338504,0.09077834
FSHB,0.5932916,0.10232822
GLI2,0.59317094,0.1173034
TRPC1,0.5928912,0.08431487
HLCS,0.59286237,0.078129314
NTRK3,0.5928552,0.0798051
LINC00616,0.5928255,0.07570475
BZW2,0.5926074,0.13558525
MOGS,0.5925373,0.06859247
OR5H6,0.5923623,0.08912783
SRGAP2B,0.592338,0.08295641
LLCFC1,0.59210795,0.08854221
CDX4,0.59206086,0.11204295
LINC01667,0.5920473,0.11837489
LDB2,0.5920127,0.09368957
EN2,0.5919951,0.07963227
TP53INP2,0.5917325,0.082294054
MT1M,0.59133714,0.12771545
ANKRD28,0.59119076,0.09402624
KIF16B,0.5910518,0.10142964
LCA5L,0.5910497,0.08906309
MYL10,0.59104526,0.123649515
TCF12-DT,0.59068364,0.0803157
GPLD1,0.59064573,0.08888179
CYP51A1,0.5906279,0.0776208
C17orf97,0.5904705,0.10990224
KCNJ5,0.59031844,0.118042365
NUDT19,0.5902942,0.098106764
AX747659,0.59024906,0.113077946
GSK3A,0.5902176,0.085713066
CAPN11,0.5900905,0.106672056
TOP1P1,0.58988595,0.110858455
LACRT,0.58981264,0.103308216
FAM222A,0.58970726,0.1069526
TCEB3CL,0.58960664,0.09870055
FGD6,0.5895876,0.11783973
FAM9C,0.5895208,0.06999317
GNA13,0.5894597,0.06727168
LHFPL2,0.58941996,0.078535266
LOC389906,0.58940166,0.08858462
ALDH3B1,0.58931696,0.08012795
FOXR1,0.58907425,0.09745281
KLRG1,0.5890132,0.08659309
FCF1,0.5890119,0.10772917
LCE6A,0.5889858,0.09840239
WNT2B,0.58891106,0.089443125
FGL1,0.58861804,0.09370357
ZNF530,0.5885775,0.1225416
SPI1,0.5885472,0.093527
SELENOO,0.5883713,0.107795924
BTD,0.58830523,0.097539574
DEFB135,0.5880893,0.09443544
RPL13A,0.58800185,0.09116175
ATE1,0.5879092,0.10395462
BRIX1,0.58786863,0.1098775
SLC1A2,0.58769435,0.09643595
TAT,0.58755803,0.07420537
CT45A6,0.5875489,0.10908165
RPL6,0.5875172,0.15021735
RPTN,0.58716625,0.07056133
THYN1,0.58711463,0.10504685
S1PR5,0.58709645,0.08889208
IL12RB2,0.58705086,0.07884698
AOAH,0.5870381,0.0935802
TNKS,0.58703417,0.08493422
LINC01252,0.586791,0.08533699
DSC3,0.5866926,0.07498074
C18orf54,0.5863085,0.092237316
CD164L2,0.5862785,0.104881726
BNIPL,0.5861618,0.09331634
SRGAP1,0.5860132,0.08517389
PPARA,0.5859217,0.08918234
NDNF,0.5858599,0.10075401
PLEKHG7,0.5858342,0.09291032
DNASE1,0.5856614,0.0937895
GNRHR,0.5855884,0.10154618
GHDC,0.58557355,0.07658563
C2orf84,0.58553827,0.11097527
CRYBA2,0.5854344,0.0956185
FAHD2B,0.58529127,0.078570165
AVPI1,0.5852672,0.08837063
FERMT1,0.585267,0.09489914
MYBBP1A,0.58522576,0.09898701
AMDHD2,0.58521754,0.09956888
EGFEM1P,0.58517045,0.07467548
LINC02995,0.58515275,0.13830969
FKBPL,0.58506167,0.087328605
FAM177B,0.5849487,0.10238384
G6PC3,0.5847612,0.08357918
SLCO1A2,0.58473897,0.07525476
DEC1,0.58467686,0.083547875
GPANK1,0.5846572,0.111502424
PPIL6,0.58457667,0.085830465
KMO,0.58447635,0.11505201
TSPEAR-AS2,0.5842222,0.11903535
RASA4,0.58407664,0.09720137
RABGEF1P1,0.58401704,0.1060295
LRP12,0.5839817,0.09477999
HNRNPUL1,0.5839671,0.07672484
SNAI1,0.5839375,0.08727152
SSX5,0.58390856,0.080079906
NORAD,0.5838464,0.08413936
ZNF444,0.58377135,0.09197307
ENDOV,0.58354354,0.07879282
TRDV2,0.58349407,0.09197763
TRPV5,0.5834879,0.08693322
psiTPTE22,0.5834668,0.09418484
GPR89A,0.5834434,0.102704585
STX11,0.5834414,0.09025992
E2F8,0.58324295,0.1221599
TERB1,0.58317775,0.11796631
NKPD1,0.58314216,0.08420155
FLNC,0.582954,0.085024856
LRRC27,0.5828965,0.07877767
SEMA6D,0.5826572,0.117113024
NFIL3,0.5826412,0.10009518
OAZ1,0.58246684,0.089505084
DRICH1,0.58241725,0.11306094
P3H1,0.5823564,0.0941754
COL9A2,0.5820981,0.09314437
DCBLD1,0.58206487,0.07723247
AKR1B10,0.5820332,0.079116076
SYDE1,0.5820188,0.11483066
NAV1,0.58195394,0.08284109
KLF1,0.5819502,0.084255
GABRG2,0.5818697,0.09105275
SLC1A6,0.5818313,0.105641015
PRSS3,0.5818103,0.08254027
FAM90A1,0.5818,0.108404785
AURKAIP1,0.5816903,0.09939226
HYAL1,0.5816883,0.11302595
TRIM73,0.58166397,0.09361817
SACM1L,0.58150446,0.1154595
NKX3-2,0.5814164,0.13443346
HERC1,0.58132595,0.07953296
FTCD,0.581302,0.07507302
MFSD14A,0.58125913,0.083694495
PTK6,0.581031,0.11371396
COQ3,0.58101946,0.09042513
OR51I1,0.58073187,0.091222785
UNG,0.58061093,0.10230232
CA8,0.58058214,0.09686524
CDH6,0.58057475,0.07565774
GSG1,0.58050156,0.07474888
RAB3IL1,0.5804964,0.106089056
DDC,0.5801224,0.08037274
TANGO6,0.58009076,0.120014355
SS18,0.57996386,0.11004201
ARHGAP32,0.579902,0.06613549
GPR31,0.5798166,0.13075992
RGS20,0.5797017,0.12149477
OGG1,0.5796052,0.12271859
YDJC,0.57957363,0.10159618
FAM218A,0.57957083,0.11427275
TAF1A,0.5795367,0.10708657
CDX1,0.57949346,0.08672194
TBX18,0.57948387,0.08831568
NUP205,0.5794818,0.08177594
CLN8,0.5794631,0.08181748
TPM4,0.57913166,0.085080214
BPY2,0.5790514,0.08986459
COMMD4,0.57871026,0.09688577
PRKAG3,0.5786677,0.09743946
COL25A1,0.5785708,0.0882494
F10,0.5782333,0.07519145
WDTC1,0.5780994,0.0691395
HS6ST3,0.57777166,0.078876145
HOXB4,0.57774776,0.06804257
