Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	RIG-I Signaling Pathway (GO:0039529)	1/6	5.687116e-03	5.548260e-02	0	0	2.219556e+02	1.147411e+03	RNF135
GO_Biological_Process_2023	Regulation Of Protein Localization To Cilium (GO:1903564)	1/7	6.631989e-03	5.548260e-02	0	0	1.849537e+02	9.277001e+02	CROCC
GO_Biological_Process_2023	Catecholamine Catabolic Process (GO:0042424)	1/7	6.631989e-03	5.548260e-02	0	0	1.849537e+02	9.277001e+02	DBH
GO_Biological_Process_2023	Regulation Of Dendritic Cell Chemotaxis (GO:2000508)	1/7	6.631989e-03	5.548260e-02	0	0	1.849537e+02	9.277001e+02	IL12A
GO_Biological_Process_2023	Inhibition Of Cysteine-Type Endopeptidase Activity (GO:0097340)	1/7	6.631989e-03	5.548260e-02	0	0	1.849537e+02	9.277001e+02	CARD18
GO_Biological_Process_2023	Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002858)	1/7	6.631989e-03	5.548260e-02	0	0	1.849537e+02	9.277001e+02	IL12A
GO_Biological_Process_2023	Dopamine Catabolic Process (GO:0042420)	1/7	6.631989e-03	5.548260e-02	0	0	1.849537e+02	9.277001e+02	DBH
GO_Biological_Process_2023	Positive Regulation Of Dendritic Cell Chemotaxis (GO:2000510)	1/7	6.631989e-03	5.548260e-02	0	0	1.849537e+02	9.277001e+02	IL12A
GO_Biological_Process_2023	Norepinephrine Metabolic Process (GO:0042415)	1/7	6.631989e-03	5.548260e-02	0	0	1.849537e+02	9.277001e+02	DBH
GO_Biological_Process_2023	Positive Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034393)	1/8	7.576012e-03	5.548260e-02	0	0	1.585238e+02	7.740350e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of NK T Cell Activation (GO:0051135)	1/8	7.576012e-03	5.548260e-02	0	0	1.585238e+02	7.740350e+02	IL12A
GO_Biological_Process_2023	Negative Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900747)	1/9	8.519186e-03	5.548260e-02	0	0	1.387014e+02	6.609724e+02	IL12A
GO_Biological_Process_2023	Negative Regulation Of Interleukin-17 Production (GO:0032700)	1/10	9.461511e-03	5.548260e-02	0	0	1.232840e+02	5.745677e+02	IL12A
GO_Biological_Process_2023	Phenol-Containing Compound Biosynthetic Process (GO:0046189)	1/10	9.461511e-03	5.548260e-02	0	0	1.232840e+02	5.745677e+02	DBH
GO_Biological_Process_2023	Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034391)	1/10	9.461511e-03	5.548260e-02	0	0	1.232840e+02	5.745677e+02	IL12A
GO_Biological_Process_2023	Cellular Response To Interleukin-12 (GO:0071349)	1/10	9.461511e-03	5.548260e-02	0	0	1.232840e+02	5.745677e+02	IL12A
GO_Biological_Process_2023	Catecholamine Biosynthetic Process (GO:0042423)	1/11	1.040299e-02	5.548260e-02	0	0	1.109500e+02	5.065602e+02	DBH
GO_Biological_Process_2023	Neurotransmitter Biosynthetic Process (GO:0042136)	1/11	1.040299e-02	5.548260e-02	0	0	1.109500e+02	5.065602e+02	DBH
GO_Biological_Process_2023	Biogenic Amine Biosynthetic Process (GO:0042401)	1/11	1.040299e-02	5.548260e-02	0	0	1.109500e+02	5.065602e+02	DBH
GO_Biological_Process_2023	Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:1902548)	1/11	1.040299e-02	5.548260e-02	0	0	1.109500e+02	5.065602e+02	IL12A
